ID_Encuesta,ID_Usuario,ID_Pregunta,Valor
sal,SAL018,9cb4e186-39c7-469f-86ba-3ada557ed87f,8.0
sal,SAL018,231b800c-aad0-44dd-b8cf-fa40a86f69e6,"""Frutas y verduras|Granos integrales|Lácteos"""
sal,SAL018,0518d6d9-65d7-41ee-924d-d0d2687abed5,Hacer pilates
sal,SAL018,b7cf9f0d-3e25-4cad-b9ae-4a52a84c2863,5.0
sal,SAL018,4207d8b6-a54c-4929-8843-edda49ae6b80,Bueno
sal,SAL018,be287b96-39f8-4a8b-a672-5d7669b21102,Poco
sal,SAL017,9cb4e186-39c7-469f-86ba-3ada557ed87f,7.5
sal,SAL017,231b800c-aad0-44dd-b8cf-fa40a86f69e6,"""Frutas y verduras|Proteínas magras|Granos integrales"""
sal,SAL017,0518d6d9-65d7-41ee-924d-d0d2687abed5,Probar nuevos deportes
sal,SAL017,b7cf9f0d-3e25-4cad-b9ae-4a52a84c2863,6.0
sal,SAL017,4207d8b6-a54c-4929-8843-edda49ae6b80,Excelente
sal,SAL017,be287b96-39f8-4a8b-a672-5d7669b21102,Nada
sal,SAL019,9cb4e186-39c7-469f-86ba-3ada557ed87f,5.5
sal,SAL019,231b800c-aad0-44dd-b8cf-fa40a86f69e6,"""Comida rápida|Bebidas azucaradas|Dulces y postres"""
sal,SAL019,0518d6d9-65d7-41ee-924d-d0d2687abed5,Cambiar completamente mi dieta
sal,SAL019,b7cf9f0d-3e25-4cad-b9ae-4a52a84c2863,0.0
sal,SAL019,4207d8b6-a54c-4929-8843-edda49ae6b80,Malo
sal,SAL019,be287b96-39f8-4a8b-a672-5d7669b21102,Mucho
sal,SAL010,9cb4e186-39c7-469f-86ba-3ada557ed87f,5.0
sal,SAL010,231b800c-aad0-44dd-b8cf-fa40a86f69e6,"""Comida rápida|Dulces y postres"""
sal,SAL010,0518d6d9-65d7-41ee-924d-d0d2687abed5,Dormir más horas
sal,SAL010,b7cf9f0d-3e25-4cad-b9ae-4a52a84c2863,1.0
sal,SAL010,4207d8b6-a54c-4929-8843-edda49ae6b80,Malo
sal,SAL010,be287b96-39f8-4a8b-a672-5d7669b21102,Mucho
sal,SAL032,9cb4e186-39c7-469f-86ba-3ada557ed87f,5.0
sal,SAL032,231b800c-aad0-44dd-b8cf-fa40a86f69e6,"""Comida rápida|Bebidas azucaradas|Dulces y postres"""
sal,SAL032,0518d6d9-65d7-41ee-924d-d0d2687abed5,Todo necesito cambiar todo
sal,SAL032,b7cf9f0d-3e25-4cad-b9ae-4a52a84c2863,1.0
sal,SAL032,4207d8b6-a54c-4929-8843-edda49ae6b80,Malo
sal,SAL032,be287b96-39f8-4a8b-a672-5d7669b21102,Mucho
sal,SAL031,9cb4e186-39c7-469f-86ba-3ada557ed87f,8.0
sal,SAL031,231b800c-aad0-44dd-b8cf-fa40a86f69e6,"""Frutas y verduras|Proteínas magras|Granos integrales"""
